12;1;Alegría-Dulantzi;5;"INSERT INTO Localidades Values(12,'Alegría-Dulantzi',5,1);"
13;1;Amurrio;4;"INSERT INTO Localidades Values(13,'Amurrio',4,1);"
14;1;Añana;5;"INSERT INTO Localidades Values(14,'Añana',5,1);"
15;1;Aramaio;5;"INSERT INTO Localidades Values(15,'Aramaio',5,1);"
16;1;Armiñón;5;"INSERT INTO Localidades Values(16,'Armiñón',5,1);"
17;1;Arraia-Maeztu;5;"INSERT INTO Localidades Values(17,'Arraia-Maeztu',5,1);"
18;1;Arrazua-Ubarrundia;5;"INSERT INTO Localidades Values(18,'Arrazua-Ubarrundia',5,1);"
19;1;Artziniega;5;"INSERT INTO Localidades Values(19,'Artziniega',5,1);"
20;1;Asparrena;5;"INSERT INTO Localidades Values(20,'Asparrena',5,1);"
21;1;Ayala/Aiara;5;"INSERT INTO Localidades Values(21,'Ayala/Aiara',5,1);"
22;1;Baños de Ebro/Mañueta;5;"INSERT INTO Localidades Values(22,'Baños de Ebro/Mañueta',5,1);"
23;1;Barrundia;5;"INSERT INTO Localidades Values(23,'Barrundia',5,1);"
24;1;Berantevilla;5;"INSERT INTO Localidades Values(24,'Berantevilla',5,1);"
25;1;Bernedo;5;"INSERT INTO Localidades Values(25,'Bernedo',5,1);"
26;1;Campezo/Kanpezu;5;"INSERT INTO Localidades Values(26,'Campezo/Kanpezu',5,1);"
27;1;Elburgo/Burgelu;5;"INSERT INTO Localidades Values(27,'Elburgo/Burgelu',5,1);"
28;1;Elciego;5;"INSERT INTO Localidades Values(28,'Elciego',5,1);"
29;1;Elvillar/Bilar;5;"INSERT INTO Localidades Values(29,'Elvillar/Bilar',5,1);"
30;1;Harana/Valle de Arana;5;"INSERT INTO Localidades Values(30,'Harana/Valle de Arana',5,1);"
31;1;Iruña Oka/Iruña de Oca;5;"INSERT INTO Localidades Values(31,'Iruña Oka/Iruña de Oca',5,1);"
32;1;Iruraiz-Gauna;5;"INSERT INTO Localidades Values(32,'Iruraiz-Gauna',5,1);"
33;1;Kripan;5;"INSERT INTO Localidades Values(33,'Kripan',5,1);"
34;1;Kuartango;5;"INSERT INTO Localidades Values(34,'Kuartango',5,1);"
35;1;Labastida/Bastida;5;"INSERT INTO Localidades Values(35,'Labastida/Bastida',5,1);"
36;1;Lagrán;5;"INSERT INTO Localidades Values(36,'Lagrán',5,1);"
37;1;Laguardia;5;"INSERT INTO Localidades Values(37,'Laguardia',5,1);"
38;1;Lanciego/Lantziego;5;"INSERT INTO Localidades Values(38,'Lanciego/Lantziego',5,1);"
39;1;Lantarón;5;"INSERT INTO Localidades Values(39,'Lantarón',5,1);"
40;1;Lapuebla de Labarca;5;"INSERT INTO Localidades Values(40,'Lapuebla de Labarca',5,1);"
41;1;Laudio/Llodio;4;"INSERT INTO Localidades Values(41,'Laudio/Llodio',4,1);"
42;1;Legutiano;5;"INSERT INTO Localidades Values(42,'Legutiano',5,1);"
43;1;Leza;5;"INSERT INTO Localidades Values(43,'Leza',5,1);"
44;1;Moreda de Álava;5;"INSERT INTO Localidades Values(44,'Moreda de Álava',5,1);"
45;1;Navaridas;5;"INSERT INTO Localidades Values(45,'Navaridas',5,1);"
46;1;Okondo;5;"INSERT INTO Localidades Values(46,'Okondo',5,1);"
47;1;Oyón-Oion;5;"INSERT INTO Localidades Values(47,'Oyón-Oion',5,1);"
48;1;Peñacerrada-Urizaharra;5;"INSERT INTO Localidades Values(48,'Peñacerrada-Urizaharra',5,1);"
49;1;Ribera Alta;5;"INSERT INTO Localidades Values(49,'Ribera Alta',5,1);"
50;1;Ribera Baja/Erribera Beitia;5;"INSERT INTO Localidades Values(50,'Ribera Baja/Erribera Beitia',5,1);"
51;1;Salvatierra/Agurain;4;"INSERT INTO Localidades Values(51,'Salvatierra/Agurain',4,1);"
52;1;Samaniego;5;"INSERT INTO Localidades Values(52,'Samaniego',5,1);"
53;1;San Millán/Donemiliaga;5;"INSERT INTO Localidades Values(53,'San Millán/Donemiliaga',5,1);"
54;1;Urkabustaiz;5;"INSERT INTO Localidades Values(54,'Urkabustaiz',5,1);"
55;1;Valdegovía/Gaubea;5;"INSERT INTO Localidades Values(55,'Valdegovía/Gaubea',5,1);"
56;1;Villabuena de Álava/Eskuernaga;5;"INSERT INTO Localidades Values(56,'Villabuena de Álava/Eskuernaga',5,1);"
57;1;Vitoria-Gasteiz;3;"INSERT INTO Localidades Values(57,'Vitoria-Gasteiz',3,1);"
58;1;Yécora/Iekora;5;"INSERT INTO Localidades Values(58,'Yécora/Iekora',5,1);"
59;1;Zalduondo;5;"INSERT INTO Localidades Values(59,'Zalduondo',5,1);"
